"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"17","소스류","가나가와현","2014-03-19","285.75","불검출","불검출","적합"
"18","소스류","가나가와현","2014-03-20","541.68","불검출","불검출","적합"
"19","복합조미식품","에히메현","2014-03-18","1,000","불검출","불검출","적합"
"20","복합조미식품","미에현","2014-03-11","24.48","불검출","불검출","적합"
"21","복합조미식품","미에현","2014-03-15","138","불검출","불검출","적합"
"22","복합조미식품","미에현","2014-03-13","22.5","불검출","불검출","적합"
"23","냉면","훗카이도","2014-03-25","2,400","불검출","불검출","적합"
"24","국수","훗카이도","2014-02-22","400","불검출","불검출","적합"
"25","복합조미식품","미에현","2014-03-18","102.24","불검출","불검출","적합"
"26","복합조미식품","이바라키현","2014-03-12","33.6","불검출","불검출","적합"
"27","복합조미식품","오카야마현","2014-03-17","21.78","불검출","불검출","적합"
"28","소스류","교토부","2014-03-29","1,115","불검출","불검출","적합"
"29","소스류","교토부","2014-02-05","1,314","불검출","불검출","적합"
"30","소스류","교토부","2014-04-02","2,180","불검출","불검출","적합"
"31","소스류","교토부","2014-03-21","202","불검출","불검출","적합"
"32","소스류","교토부","2014-03-28","6,817.5","불검출","불검출","적합"
"33","소스류","교토부","2014-03-15","2,470","불검출","불검출","적합"
"34","소스류","교토부","2014-03-13","135","불검출","불검출","적합"
"35","소스류","교토부","2014-03-20","136","불검출","불검출","적합"
"36","소스류","교토부","2014-03-27","655","불검출","불검출","적합"
"37","복합조미식품","교토부","2014-03-07","330","불검출","불검출","적합"
"38","과자(스낵과자)","사이타마현","2013-10-23","2,512","불검출","불검출","적합"
"39","가공두부","교토부","2014-03-27","12,750","불검출","불검출","적합"
"40","두류가공품","오사카부","2013-06-13","3,015","불검출","불검출","적합"
"41","소스류","군마현","2014-03-14","630","불검출","불검출","적합"
"42","소스류","군마현","2014-02-20","270","불검출","불검출","적합"
"43","합성착향료","오사카부","2014-04-03","3","불검출","불검출","적합"
"44","혼합제제","오사카부","2014-04-09","20","불검출","불검출","적합"
"45","과.채가공품","와카야마현","2011-06-08","969","불검출","불검출","적합"
"46","혼합제제","효고현","2014-04-01","70","불검출","불검출","적합"
"47","혼합제제","효고현","2014-04-01","10","불검출","불검출","적합"
"48","청주","아이치현","2014-03-01","432","불검출","불검출","적합"
"49","갈락토올리고당","훗카이도","2013-05-02","100","불검출","불검출","적합"
"50","농산물조림","돗토리현","2014-03-24","20","불검출","불검출","적합"
"51","떡류","돗토리현","2014-03-19","108","불검출","불검출","적합"
"52","과자(스낵과자)","아이치현","2014-04-08","2,016","불검출","불검출","적합"
"53","과자(크래커)","오사카부","2014-04-08","150","불검출","불검출","적합"
"54","소스류","후쿠오카현","2014-04-09","25.3","불검출","불검출","적합"
"55","과자(스낵과자)","야마가타현","2014-04-02","4,342.8","불검출","불검출","적합"
"56","청주","도쿄도","2013-12-07","129.6","불검출","불검출","적합"
"57","과자(스낵과자)","아이치현","2014-04-08","900","불검출","불검출","적합"
"58","캔디류(사탕)","아이치현","2014-04-08","640","불검출","불검출","적합"
"59","혼합제제","시즈오카현","2014-03-13","10","불검출","불검출","적합"
"60","혼합제제","이바라키현","2014-03-24","5","불검출","불검출","적합"
"61","글루콘산칼슘","도쿠시마현","2014-01-22","120","불검출","불검출","적합"
"62","소스류","도치기현","2014-02-26","12,000","불검출","불검출","적합"
"63","과자(스낵과자)","아이치현","2014-03-19","396","불검출","불검출","적합"
"64","무기질","도야마현","2014-02-11","37","불검출","불검출","적합"
"65","결정과당","아이치현","2014-02-17","16,000","불검출","불검출","적합"
"66","캔디류(사탕)","아이치현","2014-03-14","196.8","불검출","불검출","적합"
