"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"67","추잉껌","아이치현","2013-07-08","100","불검출","불검출","적합"
"68","청주","니가타현","2014-01-18","108","불검출","불검출","적합"
"69","청주","니가타현","2014-01-18","162","불검출","불검출","적합"
"70","청주","니가타현","2014-01-11","129.6","불검출","불검출","적합"
"71","청주","니가타현","2014-02-18","43.2","불검출","불검출","적합"
"72","청주","니가타현","2014-03-06","77.76","불검출","불검출","적합"
"73","소주","가고시마현","2014-02-14","43.2","불검출","불검출","적합"
"74","이산화규소","도쿠시마현","2014-03-18","3,000","불검출","불검출","적합"
"75","이산화규소","도쿠시마현","2014-03-19","500","불검출","불검출","적합"
"76","젖산","이바라키현","2014-02-24","14,400","불검출","불검출","적합"
"77","자당지방산에스테르","시가현","2014-01-21","2,400","불검출","불검출","적합"
"78","자당지방산에스테르","시가현","2014-02-27","5,600","불검출","불검출","적합"
"79","혼합제제","효고현","2014-01-16","200","불검출","불검출","적합"
"80","청주","니가타현","2014-03-19","622.08","불검출","불검출","적합"
"81","혼합제제","효고현","2014-03-18","17","불검출","불검출","적합"
"82","침출차","시마네현","2014-03-27","10,001.25","불검출","불검출","적합"
"83","혼합제제","효고현","2014-03-27","34","불검출","불검출","적합"
"84","혼합제제","효고현","2014-03-26","153","불검출","불검출","적합"
"85","혼합제제","효고현","2014-03-27","17","불검출","불검출","적합"
"86","청주","니가타현","2014-03-25","630.69","불검출","불검출","적합"
"87","청주","니가타현","2014-03-26","1,542","불검출","불검출","적합"
"88","청주","이바라키현","2014-03-19","2,886.84","불검출","불검출","적합"
"89","청주","니가타현","2014-03-24","613.61","불검출","불검출","적합"
"90","혼합제제","도치기현","2014-03-27","135","불검출","불검출","적합"
"91","혼합제제","도치기현","2014-03-13","15","불검출","불검출","적합"
"92","혼합제제","사이타마현","2014-03-28","400","불검출","불검출","적합"
"93","혼합제제","사이타마현","2014-03-31","120","불검출","불검출","적합"
"94","혼합제제","사이타마현","2014-03-31","20","불검출","불검출","적합"
"95","기타가공품","이바라키현","2014-03-19","4,500","불검출","불검출","적합"
"96","복합조미식품","히로시마현","2014-01-27","480","불검출","불검출","적합"
"97","복합조미식품","히로시마현","2014-02-17","1,080","불검출","불검출","적합"
"98","복합조미식품","히로시마현","2014-04-01","1,060","불검출","불검출","적합"
"99","소스류","효고현","2014-04-08","7,830","불검출","불검출","적합"
"100","기타천연착향료","오사카부","2014-04-02","150","불검출","불검출","적합"
"101","기타천연착향료","오사카부","2014-04-01","60","불검출","불검출","적합"
"102","청주","후쿠오카현","2014-03-01","10,500","불검출","불검출","적합"
"103","맥주","구마모토현","2014-03-10","6,272","불검출","불검출","적합"
