"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","648,348","-","-","-"
"1","냉동대구(목살)","러시아","2014-11-28","6,460","불검출","불검출","적합"
"2","냉동명태","러시아","2014-11-28","422,905","불검출","불검출","적합"
"3","냉동대구","러시아","2014-11-28","11,739","불검출","불검출","적합"
"4","냉동가자미(까지가자미) 러시아","","2014-11-28","2,107","불검출","불검출","적합"
"5","냉동가자미(까지가자미) 러시아","","2014-11-28","17,280","불검출","불검출","적합"
"6","냉동가자미(각시가자미) 러시아","","2014-11-28","3,264","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-11-28","69,525","불검출","불검출","적합"
"8","냉동가자미(각시가자미) 미국","","2014-11-28","22,500","불검출","불검출","적합"
"9","냉동고등어","대만","2014-11-28","10,450","불검출","불검출","적합"
"10","냉동상어(귀상어)","중국","2014-11-28","10,813","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-11-28","71,305","불검출","불검출","적합"
