"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","1,946,654","-","-","-"
"1","냉동고등어(F)","중국","2014-12-2","1,200","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-12-2","234,605","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-12-2","123,213","불검출","불검출","적합"
"4","냉동꽁치","대만","2014-12-2","242,707","불검출","불검출","적합"
"5","냉동명태","러시아","2014-12-2","483,105","불검출","불검출","적합"
"6","냉동고등어","중국","2014-12-2","23,985","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2014-12-2","24,000","불검출","불검출","적합"
"8","냉동다랑어(눈다랑어,F,횟감)","중국","2014-12-2","456","불검출","불검출","적합"
"9","냉동상어(흑기흉상어)","대만","2014-12-2","3,349","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-12-2","469,914","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-12-2","340,120","불검출","불검출","적합"
