"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 98건","","","","895,059","","",""
"1","혼합제제","오사카부","2017-07-06","17","불검출","불검출","적합"
"2","냉면","구마모토현","2017-05-30","612","불검출","불검출","적합"
"3","국수","구마모토현","2017-06-20","239","불검출","불검출","적합"
"4","냉면","구마모토현","2017-06-14","151","불검출","불검출","적합"
"5","냉면","구마모토현","2017-06-14","158","불검출","불검출","적합"
"6","냉면","구마모토현","2017-06-14","158","불검출","불검출","적합"
"7","국수","구마모토현","2017-06-14","400","불검출","불검출","적합"
"8","냉면","구마모토현","2017-06-10","756","불검출","불검출","적합"
"9","냉면","구마모토현","2017-06-22","4,500","불검출","불검출","적합"
"10","과.채음료","후쿠오카현","2017-06-10","1,575","불검출","불검출","적합"
"11","과.채음료","후쿠오카현","2017-06-08","900","불검출","불검출","적합"
"12","과.채음료","후쿠오카현","2017-06-09","1,575","불검출","불검출","적합"
"13","과.채음료","후쿠오카현","2017-06-20","1,080","불검출","불검출","적합"
