"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 85건","","","","247,076","","",""
"1","혼합제제","사이타마현","2017-05-29","32","불검출","불검출","적합"
"2","기타천연착향료","사이타마현","2017-05-29","32","불검출","불검출","적합"
"3","혼합제제","사이타마현","2017-05-29","120","불검출","불검출","적합"
"4","맥주","후쿠오카현","2017-05-08","16,783","불검출","불검출","적합"
"5","빵류(케이크)","히로시마현","2017-04-12","240","불검출","불검출","적합"
"6","캔디류(젤리)","나가노현","2017-05-10","2,142","불검출","불검출","적합"
"7","혼합제제","사이타마현","2017-05-29","32","불검출","불검출","적합"
"8","혼합제제","사이타마현","2017-05-29","80","불검출","불검출","적합"
"9","혼합제제","사이타마현","2016-10-03","40","불검출","불검출","적합"
"10","혼합제제","오사카부","2017-05-30","75","불검출","불검출","적합"
"11","혼합제제","이바라키현","2017-05-18","405","불검출","불검출","적합"
"12","기타천연착향료","오카야마현","2017-05-19","180","불검출","불검출","적합"
"13","혼합제제","오카야마현","2017-05-31","30","불검출","불검출","적합"
