"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 189건","","","","581,801","","",""
"1","혼합제제","시즈오카현","2017-05-25","120","불검출","불검출","적합"
"2","혼합제제","나가노현","2017-05-26","500","불검출","불검출","적합"
"3","혼합제제","나가노현","2016-11-15","1,000","불검출","불검출","적합"
"4","혼합제제","가나가와현","2017-05-26","200","불검출","불검출","적합"
"5","혼합제제","도쿄도","2017-05-23","120","불검출","불검출","적합"
"6","탄산음료","아이치현","2016-07-09","3,471","불검출","불검출","적합"
"7","혼합장","후쿠오카현","2017-05-12","130","불검출","불검출","적합"
"8","혼합장","후쿠오카현","2017-05-12","130","불검출","불검출","적합"
"9","양조간장","후쿠오카현","2017-05-12","60","불검출","불검출","적합"
"10","맥주","후쿠오카현","2017-05-23","98,928","불검출","불검출","적합"
"11","맥주","후쿠오카현","2017-05-26","104,688","불검출","불검출","적합"
"12","맥주","후쿠오카현","2017-05-01","16,783","불검출","불검출","적합"
"13","청주","돗토리현","2017-05-15","216","불검출","불검출","적합"
