"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"16","냉장갈치","와카야마현","2017-02-06","1,000","불검출","불검출","적합"
"17","냉장갈치","효고현","2017-02-06","992","불검출","불검출","적합"
"18","냉장병어","효고현","2017-02-06","30","불검출","불검출","적합"
"19","냉장갈치","오이타현","2017-02-06","700","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2017-02-06","120","불검출","불검출","적합"
"21","냉장명태","홋카이도","2017-02-06","4,329","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2017-02-06","294","불검출","불검출","적합"
"23","냉장명태","홋카이도","2017-02-06","4,316","불검출","불검출","적합"
"24","냉장갈치","후쿠오카현","2017-02-06","625","불검출","불검출","적합"
"25","냉장갈치","후쿠오카현","2017-02-06","462","불검출","불검출","적합"
"26","냉장갈치","와카야마현","2017-02-06","1,400","불검출","불검출","적합"
"27","냉장홍어","홋카이도","2017-02-06","3,948","불검출","불검출","적합"
"28","냉동개아지살
(가리비,횟감)","홋카이도","2017-02-06","1,890","불검출","불검출","적합"
"29","활돔(강담돔)","가고시마현","2017-02-06","1,217","불검출","불검출","적합"
