"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏) 건수 중량(㎏)","","","","","","","","",""
"합계","","210  571,833","0","0","","137  498,037","5","1,728","68","72,069"
"6.23","109","429,987","0","0","65","391,028","2","543","42","38,416"
"6.24","101","141,846","0","0","72","107,009","3","1,185","26","33,653"
"6.25","","","","","","","","","",""
"6.26","","","","","","","","","",""
"6.27","","","","","","","","","",""
