"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","101건","","141,846","","",""
"1","농산물조림","도쿠시마현","2014-01-21","60","불검출","불검출","적합"
"2","혼합제제","와카야마현","2014-05-22","30","불검출","불검출","적합"
"3","혼합제제","와카야마현","2014-05-27","60","불검출","불검출","적합"
"4","혼합제제","와카야마현","2014-05-26","15","불검출","불검출","적합"
"5","혼합제제","와카야마현","2014-05-27","60","불검출","불검출","적합"
"6","볶은커피","가나가와현","2014-05-21","2,324.4","불검출","불검출","적합"
"7","청주","시즈오카현","2014-05-20","585.6","불검출","불검출","적합"
"8","액상커피","효고현","2014-04-23","5,550","불검출","불검출","적합"
"9","빵류(그외 빵류)","나가노현","2014-04-26","96","불검출","불검출","적합"
"10","떡류","가나가와현","2014-04-22","107.1","불검출","불검출","적합"
"11","합성착향료","가나가와현","2014-05-15","2","불검출","불검출","적합"
"12","혼합제제","효고현","2014-06-04","17","불검출","불검출","적합"
"13","혼합제제","효고현","2014-06-04","17","불검출","불검출","적합"
"14","혼합제제","효고현","2014-06-05","51","불검출","불검출","적합"
"15","혼합제제","효고현","2014-06-05","34","불검출","불검출","적합"
"16","혼합제제","효고현","2014-05-29","34","불검출","불검출","적합"
"17","합성착향료","가나가와현","2014-05-15","2","불검출","불검출","적합"
"18","합성착향료","야마가타현","2014-05-15","11","불검출","불검출","적합"
