"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","128,538","-","-","-"
"1","활돔(참돔)","에히메현","2017-03-07","1,916","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2017-03-07","17,776","불검출","불검출","적합"
"3","냉동다랑어
(눈다랑어,목살)","태평양","2017-03-07","90","불검출","불검출","적합"
"4","냉장갈치","후쿠오카현","2017-03-07","855","불검출","불검출","적합"
"5","냉장갈치","히로시마현","2017-03-07","120","불검출","불검출","적합"
"6","냉장명태","홋카이도","2017-03-07","8,090","불검출","불검출","적합"
"7","냉장명태","홋카이도","2017-03-07","4,250","불검출","불검출","적합"
"8","냉장명태","홋카이도","2017-03-07","3,144","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2017-03-07","5,262","불검출","불검출","적합"
"10","냉장대구","홋카이도","2017-03-07","1,800","불검출","불검출","적합"
"11","냉장갈치","후쿠오카현","2017-03-07","128","불검출","불검출","적합"
"12","냉장돔(황돔)","야마구치현","2017-03-07","110","불검출","불검출","적합"
"13","냉장명태","홋카이도","2017-03-07","1,790","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2017-03-07","240","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2017-03-07","4,684","불검출","불검출","적합"
"16","냉장명태","홋카이도","2017-03-07","4,225","불검출","불검출","적합"
