"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","180","","854,916","","",""
"1","어묵","사가현","2017-02-01","588","불검출","불검출","적합"
"2","어묵","사가현","2017-02-01","720","불검출","불검출","적합"
"3","어묵","사가현","2017-02-01","1,056","불검출","불검출","적합"
"4","어묵","사가현","2017-02-01","960","불검출","불검출","적합"
"5","어묵","사가현","2017-01-01","600","불검출","불검출","적합"
"6","어묵","사가현","2016-12-01","600","불검출","불검출","적합"
"7","어묵","사가현","2017-02-01","2,261","불검출","불검출","적합"
"8","어묵","사가현","2017-02-01","1,440","불검출","불검출","적합"
"9","어묵","사가현","2017-02-01","900","불검출","불검출","적합"
"10","어묵","사가현","2017-01-01","1,050","불검출","불검출","적합"
"11","양조간장","후쿠오카현","2017-01-20","1,158","불검출","불검출","적합"
"12","홍국(원료성)","오사카부","2017-02-14","251","불검출","불검출","적합"
"13","혼합장","나가노현","2017-01-30","8,352","불검출","불검출","적합"
