"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"80","혼합제제","효고현","2018-10-25","68","불검출","불검출","적합"
"81","과자","니가타현","2019-08-20","108","불검출","불검출","적합"
"82","혼합제제","시즈오카현","2018-10-23","4,420","불검출","불검출","적합"
"83","혼합제제","오카야마현","2018-10-26","135","불검출","불검출","적합"
"84","혼합제제","오카야마현","2018-10-09","90","불검출","불검출","적합"
"85","혼합제제","오카야마현","2018-08-29","180","불검출","불검출","적합"
"86","청주","히로시마현","2018-09-20","3,463","불검출","불검출","적합"
"87","소스","오사카부","2018-11-01","4,000","불검출","불검출","적합"
"88","마요네즈","시즈오카현","2018-10-10","1,260","불검출","불검출","적합"
"89","향신료조제품","사이타마현","2018-10-02","600","불검출","불검출","적합"
"90","건어포","교토부","2018-10-22","660","불검출","불검출","적합"
"91","건어포","교토부","2018-10-22","175","불검출","불검출","적합"
"92","건어포","교토부","2018-10-22","400","불검출","불검출","적합"
"93","건어포","교토부","2018-10-22","75","불검출","불검출","적합"
"94","건어포","교토부","2018-10-22","450","불검출","불검출","적합"
"95","혼합제제","사이타마현","2018-10-18","100","불검출","불검출","적합"
"96","기타가공품","시즈오카현","2018-06-18","1,440","불검출","불검출","적합"
"97","혼합제제","효고현","2018-10-29","17","불검출","불검출","적합"
"98","혼합제제","효고현","2018-10-30","17","불검출","불검출","적합"
"99","혼합제제","효고현","2018-10-29","15","불검출","불검출","적합"
"100","혼합제제","효고현","2018-10-29","119","불검출","불검출","적합"
"101","소스","사가현","2018-07-10","100","불검출","불검출","적합"
"102","과자","도쿠시마현","2018-10-24","600","불검출","불검출","적합"
"103","캔디류","미에현","2018-10-16","106","불검출","불검출","적합"
"104","캔디류","미에현","2018-10-22","127","불검출","불검출","적합"
"105","캔디류","미에현","2018-10-22","169","불검출","불검출","적합"
"106","과자","사이타마현","2018-10-05","120","불검출","불검출","적합"
"107","캔디류","후쿠시마현","2018-09-25","274","불검출","불검출","적합"
"108","캔디류","야마구치현","2018-10-16","154","불검출","불검출","적합"
"109","초콜릿가공품","오사카부","2018-10-03","184","불검출","불검출","적합"
"110","청국장","도쿄도","2018-09-30","1,598","불검출","불검출","적합"
"111","청국장","도쿄도","2018-10-11","1,633","불검출","불검출","적합"
"112","기타가공품","기후현","2018-10-12","256","불검출","불검출","적합"
