"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","어묵","시마네현","2018-10-16","720","불검출","불검출","적합"
"16","카레(커리)","니가타현","2018-10-05","400","불검출","불검출","적합"
"17","카레(커리)","나가노현","2018-09-24","400","불검출","불검출","적합"
"18","카레(커리)","나가노현","2018-10-03","2,000","불검출","불검출","적합"
"19","카레(커리)","니가타현","2018-09-10","300","불검출","불검출","적합"
"20","청주","효고현","2018-10-10","17,400","불검출","불검출","적합"
"21","청주","후쿠오카현","2018-10-22","2,661","불검출","불검출","적합"
"22","소주","후쿠오카현","2018-06-28","380","불검출","불검출","적합"
"23","청주","후쿠오카현","2018-10-11","10,860","불검출","불검출","적합"
"24","수산물가공품","효고현","2018-10-09","40","불검출","불검출","적합"
"25","맥주","후쿠오카현","2018-10-10","296,616","불검출","불검출","적합"
"26","맥주","아이치현","2018-10-10","14,126","불검출","불검출","적합"
"27","볶은커피","시즈오카현","2018-09-28","130","불검출","불검출","적합"
"28","볶은커피","시즈오카현","2018-09-07","130","불검출","불검출","적합"
"29","볶은커피","사이타마현","2018-09-26","1,800","불검출","불검출","적합"
"30","볶은커피","시즈오카현","2018-07-13","600","불검출","불검출","적합"
"31","볶은커피","시즈오카현","2018-09-10","600","불검출","불검출","적합"
"32","볶은커피","시즈오카현","2018-09-10","600","불검출","불검출","적합"
"33","당류가공품","시가현","2018-08-25","36","불검출","불검출","적합"
"34","기타과당","미에현","2018-09-05","180","불검출","불검출","적합"
"35","액상커피","시가현","2018-10-06","9,000","불검출","불검출","적합"
"36","액상커피","시가현","2018-10-04","660","불검출","불검출","적합"
"37","혼합제제","사이타마현","2018-08-20","160","불검출","불검출","적합"
"38","혼합제제","사이타마현","2018-10-26","32","불검출","불검출","적합"
"39","혼합제제","사이타마현","2018-08-24","80","불검출","불검출","적합"
"40","혼합제제","사이타마현","2018-10-29","200","불검출","불검출","적합"
"41","혼합제제","사이타마현","2018-10-29","80","불검출","불검출","적합"
"42","혼합제제","사이타마현","2018-08-20","300","불검출","불검출","적합"
"43","혼합장","아이치현","2018-10-30","10,000","불검출","불검출","적합"
"44","혼합장","아이치현","2018-10-23","9,000","불검출","불검출","적합"
"45","캔디류","아이치현","2018-10-18","731","불검출","불검출","적합"
"46","과자","아이치현","2018-10-17","1,664","불검출","불검출","적합"
