"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","491,213","","",""
"1","청주","사이타마현","2018-10-10","108","불검출","불검출","적합"
"2","청주","사이타마현","2018-08-02","600","불검출","불검출","적합"
"3","청국장","훗카이도","2018-10-20","2,970","불검출","불검출","적합"
"4","향신료조제품","사이타마현","2018-08-24","45","불검출","불검출","적합"
"5","청주","니가타현","2018-10-12","1,296","불검출","불검출","적합"
"6","어묵","시마네현","2018-10-01","4,048","불검출","불검출","적합"
"7","어묵","시마네현","2018-10-16","2,328","불검출","불검출","적합"
"8","가공두부","이시카와현","2018-10-22","3,000","불검출","불검출","적합"
"9","어묵","시마네현","2018-10-01","1,200","불검출","불검출","적합"
"10","어묵","시마네현","2018-09-16","238","불검출","불검출","적합"
"11","어묵","시마네현","2018-10-16","1,164","불검출","불검출","적합"
"12","어묵","시마네현","2018-10-01","250","불검출","불검출","적합"
"13","카레(커리)","나가노현","2018-09-18","7,000","불검출","불검출","적합"
"14","어묵","시마네현","2018-11-01","2,500","불검출","불검출","적합"
