"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 135건","","","","534,810","","",""
"1","글리세린","효고현","2018-06-15","750","불검출","불검출","적합"
"2","청주","니가타현","2018-10-09","1,728","불검출","불검출","적합"
"3","청주","니가타현","2018-10-09","173","불검출","불검출","적합"
"4","카레(커리)","시즈오카현","2018-10-01","207","불검출","불검출","적합"
"5","청주","나가노현","2018-09-01","403","불검출","불검출","적합"
"6","맥주","후쿠오카현","2018-11-02","16,783","불검출","불검출","적합"
"7","맥주","후쿠오카현","2018-10-19","69,792","불검출","불검출","적합"
"8","소스","아이치현","2018-11-01","7,980","불검출","불검출","적합"
"9","소스","아이치현","2018-11-01","3,000","불검출","불검출","적합"
"10","빵류","기후현","2018-09-14","243","불검출","불검출","적합"
"11","캔디류","아이치현","2018-11-01","806","불검출","불검출","적합"
"12","복합조미식품","에히메현","2018-11-05","1,000","불검출","불검출","적합"
"13","소스","시즈오카현","2018-11-02","1,000","불검출","불검출","적합"
"14","소스","시즈오카현","2018-11-02","2,000","불검출","불검출","적합"
