"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","2,420,757","-","-","-"
"1","냉동명태","러시아","2014-11-11","1,182,479","불검출","불검출","적합"
"2","냉동꽁치","대만","2014-11-11","180,716","불검출","불검출","적합"
"3","냉동꽁치","대만","2014-11-11","44,528","불검출","불검출","적합"
"4","냉동다랑어(눈다랑어,F,횟감)","대만","2014-11-11","777","불검출","불검출","적합"
"5","냉동명태","러시아","2014-11-11","10,000","불검출","불검출","적합"
"6","냉동가자미(각시가자미) 미국","","2014-11-11","19,926","불검출","불검출","적합"
"7","냉동꽁치","대만","2014-11-11","170,804","불검출","불검출","적합"
"8","냉동꽁치","대만","2014-11-11","127,632","불검출","불검출","적합"
"9","냉동꽁치","대만","2014-11-11","395,276","불검출","불검출","적합"
"10","냉동꽁치","대만","2014-11-11","26,559","불검출","불검출","적합"
"11","냉동꽁치","대만","2014-11-11","190,060","불검출","불검출","적합"
"12","냉동대구(F)","러시아","2014-11-11","24,000","불검출","불검출","적합"
"13","냉동고등어","대만","2014-11-11","48,000","불검출","불검출","적합"
