"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건34","-","-","76,903","-","-","-"
"1","활돔 돌돔(
)","에히메현","2016-03-08","1,892","불검출","불검출","적합"
"2","활돔 돌돔(
)","오이타현","2016-03-08","1,446","불검출","불검출","적합"
"3","냉장병어","야마구치현","2016-03-08","590","불검출","불검출","적합"
"4","냉장갈치","오이타현","2016-03-08","1,726","불검출","불검출","적합"
"5","냉장홍어","야마구치현","2016-03-08","510","불검출","불검출","적합"
"6","냉장갈치","오이타현","2016-03-08","820","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-03-08","9,100","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-03-08","7,464","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-03-08","7,200","불검출","불검출","적합"
"10","냉장갈치","도쿠시마현","2016-03-08","2,130","불검출","불검출","적합"
"11","냉장갈치","효고현","2016-03-08","1,155","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-03-08","7,430","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-03-08","7,369","불검출","불검출","적합"
"14","냉장갈치","에히메현","2016-03-08","1,952","불검출","불검출","적합"
"15","냉장갈치","효고현","2016-03-08","1,200","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2016-03-08","72","불검출","불검출","적합"
