"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건14","-","-","21,723","-","-","-"
"1","냉장명태","홋카이도","2016-03-07","1,800","불검출","불검출","적합"
"2","냉장홍어","홋카이도","2016-03-07","1,586","불검출","불검출","적합"
"3","냉장갈치","오이타현","2016-03-07","800","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-03-07","6,490","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-03-07","1,872","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-03-07","1,764","불검출","불검출","적합"
"7","냉장대구","홋카이도","2016-03-07","600","불검출","불검출","적합"
"8","냉장대구","홋카이도","2016-03-07","600","불검출","불검출","적합"
"9","냉장준치","효고현","2016-03-07","130","불검출","불검출","적합"
"10","냉장갈치","효고현","2016-03-07","360","불검출","불검출","적합"
"11","냉장갈치","오이타현","2016-03-07","1,460","불검출","불검출","적합"
"12","활꼬막","후쿠오카현","2016-03-07","2,900","불검출","불검출","적합"
"13","냉동큰실말","오키나와현","2016-03-07","240","불검출","불검출","적합"
"14","활돔 돌돔(
)","미야자키현","2016-03-07","1,121","불검출","불검출","적합"
