"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-03-09","4,225","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-03-09","2,587","불검출","불검출","적합"
"19","냉장대구","홋카이도","2016-03-09","1,471","불검출","불검출","적합"
"20","냉장명태","홋카이도","2016-03-09","4,225","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-03-09","2,600","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2016-03-09","124","불검출","불검출","적합"
"23","냉장대구","홋카이도","2016-03-09","1,471","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-03-09","5,550","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-03-09","950","불검출","불검출","적합"
"26","냉장홍어","홋카이도","2016-03-09","3,585","불검출","불검출","적합"
"27","냉장명태","홋카이도","2016-03-09","2,396","불검출","불검출","적합"
"28","냉장명태","홋카이도","2016-03-09","4,061","불검출","불검출","적합"
"29","냉동가리비 외투(
막)","홋카이도","2016-03-09","24,000","불검출","불검출","적합"
"30","활가리비","홋카이도","2016-03-09","6,987","불검출","불검출","적합"
"31","활게 참게(
)","야마구치현","2016-03-09","357","불검출","불검출","적합"
"32","냉동가리비","홋카이도","2016-03-09","5,500","불검출","불검출","적합"
"33","냉동가리비","홋카이도","2016-03-09","3,500","불검출","불검출","적합"
