"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"151","복합조미식품","야마구치현","2016-02-03","5,480","불검출","불검출","적합"
"152","혼합제제","효고현","2016-02-08","17","불검출","불검출","적합"
"153","소스류","교토부","2016-01-27","761.4","불검출","불검출","적합"
"154","혼합제제","효고현","2016-02-17","17","불검출","불검출","적합"
"155","혼합제제","효고현","2016-02-12","300","불검출","불검출","적합"
"156","혼합제제","효고현","2016-02-09","200","불검출","불검출","적합"
"157","혼합제제","효고현","2016-02-09","15","불검출","불검출","적합"
"158","혼합제제","효고현","2016-02-10","17","불검출","불검출","적합"
"159","혼합제제","효고현","2016-02-09","34","불검출","불검출","적합"
"160","혼합제제","효고현","2016-02-17","17","불검출","불검출","적합"
"161","혼합제제","효고현","2016-02-17","17","불검출","불검출","적합"
"162","혼합제제","효고현","2016-02-17","17","불검출","불검출","적합"
"163","혼합제제","효고현","2016-02-17","10","불검출","불검출","적합"
"164","혼합제제","효고현","2016-02-17","17","불검출","불검출","적합"
"165","혼합제제","도치기현","2016-02-10","15","불검출","불검출","적합"
"166","복합조미식품","오사카부","2016-02-10","1,680","불검출","불검출","적합"
"167","복합조미식품","오사카부","2016-02-12","900","불검출","불검출","적합"
"168","기타주류","야마구치현","2016-01-12","3,940","불검출","불검출","적합"
"169","물엿","가고시마현","2016-02-09","2,675","불검출","불검출","적합"
"170","복합조미식품","오사카부","2016-02-09","2,820","불검출","불검출","적합"
"171","고춧가루","시가현","2016-01-30","400","불검출","불검출","적합"
"172","혼합제제","오사카부","2015-05-20","5","불검출","불검출","적합"
"173","소스류","오사카부","2016-01-19","320","불검출","불검출","적합"
"174","소스류","지바현","2016-02-10","5,580","불검출","불검출","적합"
"175","장류절임","도치기현","2016-02-16","288","불검출","불검출","적합"
"176","혼합제제","나가노현","2016-02-17","500","불검출","불검출","적합"
"177","장류절임","도치기현","2016-02-16","192","불검출","불검출","적합"
"178","소스류","에히메현","2016-01-27","5,446.08","불검출","불검출","적합"
"179","혼합제제","가나가와현","2016-02-22","150","불검출","불검출","적합"
"180","혼합제제","나가노현","2016-01-25","600","불검출","불검출","적합"
"181","혼합제제","나가노현","2016-02-10","1,600","불검출","불검출","적합"
"182","혼합제제","오사카부","2016-02-12","60","불검출","불검출","적합"
"183","혼합제제","오사카부","2015-12-15","210","불검출","불검출","적합"
"184","코엔자임Q10(원료성)","가나가와현","2015-10-22","37","불검출","불검출","적합"
