"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","150,547","-","-","-"
"1","활가리비","홋카이도","2016-03-09","8,069","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-03-09","7,500","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-03-09","14,000","불검출","불검출","적합"
"4","활대합 북방대합
(
)","홋카이도","2016-03-09","1,200","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-03-09","6,978","불검출","불검출","적합"
"6","활장어 먹장어
(
)","나가사키현","2016-03-09","2,232","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-03-09","7,281","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-03-09","7,996","불검출","불검출","적합"
"9","냉장홍어","야마구치현","2016-03-09","260","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-03-09","2,994","불검출","불검출","적합"
"11","냉장갈치","야마구치현","2016-03-09","508","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-03-09","1,608","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-03-09","7,450","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2016-03-09","920","불검출","불검출","적합"
"15","냉장병어","야마구치현","2016-03-09","1,260","불검출","불검출","적합"
"16","활가리비","홋카이도","2016-03-09","6,702","불검출","불검출","적합"
