"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-03-08","3,000","불검출","불검출","적합"
"18","냉장갈치","오이타현","2016-03-08","1,205","불검출","불검출","적합"
"19","활돔 돌돔(
)","미에현","2016-03-08","604","불검출","불검출","적합"
"20","냉장갈치","야마구치현","2016-03-08","1,632","불검출","불검출","적합"
"21","냉장병어","야마구치현","2016-03-08","290","불검출","불검출","적합"
"22","냉장갈치","야마구치현","2016-03-08","2,398","불검출","불검출","적합"
"23","냉장병어","야마구치현","2016-03-08","200","불검출","불검출","적합"
"24","활돔 돌돔(
)","시즈오카현","2016-03-08","212","불검출","불검출","적합"
"25","활돔 돌돔(
)","와카야마현","2016-03-08","139","불검출","불검출","적합"
"26","냉장홍어","홋카이도","2016-03-08","6,550","불검출","불검출","적합"
"27","활낙지","효고현","2016-03-08","244","불검출","불검출","적합"
"28","냉장홍어","홋카이도","2016-03-08","3,253","불검출","불검출","적합"
"29","활해삼","효고현","2016-03-08","292","불검출","불검출","적합"
"30","활돔 돌돔(
)","오이타현","2016-03-08","229","불검출","불검출","적합"
"31","활돔 벵에돔
(
)","오이타현","2016-03-08","594","불검출","불검출","적합"
"32","냉장갈치","오이타현","2016-03-08","1,830","불검출","불검출","적합"
"33","활꼬막 새꼬막
(
)","사가현","2016-03-08","1,400","불검출","불검출","적합"
"34","냉장갈치","오이타현","2016-03-08","775","불검출","불검출","적합"
