"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","21건","-","-","51,958","-","-","-"
"1","활돔(참돔)","나가사키현","2016-03-10","6,914","불검출","불검출","적합"
"2","활돔(참돔)","나가사키현","2016-03-10","8,755","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-03-10","7,430","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-03-10","6,964","불검출","불검출","적합"
"5","냉장명태","홋카이도","2016-03-10","2,300","불검출","불검출","적합"
"6","냉장갈치","와카야마현","2016-03-10","2,744","불검출","불검출","적합"
"7","냉장돔(황돔)","야마구치현","2016-03-10","416","불검출","불검출","적합"
"8","냉장가오리","야마구치현","2016-03-10","50","불검출","불검출","적합"
"9","활꼬막","후쿠오카현","2016-03-10","2,920","불검출","불검출","적합"
"10","활꼬막(새꼬막)","후쿠오카현","2016-03-10","1,700","불검출","불검출","적합"
"11","활돔(벵에돔)","사가현","2016-03-10","1,493","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2016-03-10","1,952","불검출","불검출","적합"
"13","냉장갈치","효고현","2016-03-10","889","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-03-10","1,464","불검출","불검출","적합"
"15","냉장갈치","와카야마현","2016-03-10","1,216","불검출","불검출","적합"
"16","활장어(먹장어)","나가사키현","2016-03-10","2,112","불검출","불검출","적합"
"17","냉장갈치","오이타현","2016-03-10","575","불검출","불검출","적합"
"18","냉장갈치","에히메현","2016-03-10","192","불검출","불검출","적합"
"19","냉장갈치","효고현","2016-03-10","936","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2016-03-10","536","불검출","불검출","적합"
"21","냉장갈치","와카야마현","2016-03-10","400","불검출","불검출","적합"
