"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","인스턴트커피","오사카부","2017-02-28","65","불검출","불검출","적합"
"15","볶은커피","시즈오카현","2017-03-27","5,886","불검출","불검출","적합"
"16","볶은커피","시즈오카현","2017-03-09","4,518","불검출","불검출","적합"
"17","인스턴트커피","오사카부","2017-01-19","19","불검출","불검출","적합"
"18","볶은커피","효고현","2017-03-16","776","불검출","불검출","적합"
"19","볶은커피","가나가와현","2017-03-27","2,340","불검출","불검출","적합"
"20","볶은커피","아이치현","2017-03-27","1,000","불검출","불검출","적합"
"21","청주","후쿠이현","2017-03-29","432","불검출","불검출","적합"
"22","청주","후쿠이현","2017-03-08","162","불검출","불검출","적합"
"23","청주","후쿠이현","2017-03-23","216","불검출","불검출","적합"
"24","청주","후쿠이현","2017-02-28","143","불검출","불검출","적합"
"25","과자(비스킷)","아이치현","2017-01-25","80","불검출","불검출","적합"
"26","글리세린지방산에
스테르","미에현","2017-02-09","128","불검출","불검출","적합"
"27","볶은커피","오사카부","(2018-01-03)","271","불검출","불검출","적합"
"28","혼합제제","오사카부","2017-03-29","1,008","불검출","불검출","적합"
"29","탄산음료","후쿠오카현","2017-04-09","5,880","불검출","불검출","적합"
"30","볶은커피","오사카부","(2018-01-02)","209","불검출","불검출","적합"
"31","혼합음료","미야자키현","2017-03-17","2,400","불검출","불검출","적합"
"32","볶은커피","오사카부","(2017-12-27)","190","불검출","불검출","적합"
"33","혼합음료","후쿠오카현","2017-02-22","4,176","불검출","불검출","적합"
"34","소스류","지바현","2017-02-02","2,925","불검출","불검출","적합"
"35","캔디류(사탕)","미에현","2017-03-08","634","불검출","불검출","적합"
"36","맥주","후쿠오카현","2017-02-02","16,800","불검출","불검출","적합"
"37","맥주","후쿠오카현","2017-02-02","16,800","불검출","불검출","적합"
"38","맥주","후쿠오카현","2017-03-09","67,200","불검출","불검출","적합"
"39","맥주","후쿠오카현","2017-03-14","314,280","불검출","불검출","적합"
"40","맥주","후쿠오카현","2017-03-24","20,200","불검출","불검출","적합"
"41","맥주","이바라키현","2017-03-24","6,653","불검출","불검출","적합"
"42","혼합제제","오카야마현","2017-02-01","30","불검출","불검출","적합"
"43","혼합제제","사이타마현","2017-02-24","100","불검출","불검출","적합"
"44","혼합제제","오카야마현","2017-03-30","30","불검출","불검출","적합"
"45","기타천연착향료","사이타마현","2016-12-07","20","불검출","불검출","적합"
"46","혼합제제","사이타마현","2017-03-31","100","불검출","불검출","적합"
"47","혼합제제","사이타마현","2017-03-30","2,040","불검출","불검출","적합"
