"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 184건","","","","357,053","","",""
"1","복합조미식품","미에현","2018-04-09","77","불검출","불검출","적합"
"2","과자","이바라키현","2018-04-06","933","불검출","불검출","적합"
"3","과자","이바라키현","2018-04-10","199","불검출","불검출","적합"
"4","과자","이바라키현","2018-04-05","622","불검출","불검출","적합"
"5","과자","이바라키현","2018-04-06","446","불검출","불검출","적합"
"6","과자","이바라키현","2018-04-10","467","불검출","불검출","적합"
"7","과자","이바라키현","2018-04-09","202","불검출","불검출","적합"
"8","유탕면","기후현","2018-03-13","22","불검출","불검출","적합"
"9","소스","가나가와현","2018-05-08","1,816","불검출","불검출","적합"
"10","소스","가나가와현","2018-05-09","1,907","불검출","불검출","적합"
"11","캔디류","군마현","2018-04-03","7,488","불검출","불검출","적합"
"12","볶은커피","시즈오카현","2018-04-07","7,200","불검출","불검출","적합"
"13","청주","기후현","2018-04-20","112","불검출","불검출","적합"
"14","청주","미야기현","2018-04-26","60","불검출","불검출","적합"
"15","소주","미야자키현","2018-05-01","335","불검출","불검출","적합"
