"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 175건","","","","656,765","","",""
"1","카레(커리)","시즈오카현","2018-02-16","276","불검출","불검출","적합"
"2","소스","히로시마현","2018-04-04","324","불검출","불검출","적합"
"3","소스","히로시마현","2018-04-16","1,080","불검출","불검출","적합"
"4","소스","지바현","2018-03-28","1,926","불검출","불검출","적합"
"5","건면","훗카이도","2018-03-05","500","불검출","불검출","적합"
"6","양조간장","지바현","2018-04-04","253","불검출","불검출","적합"
"7","양조간장","지바현","2018-04-17","425","불검출","불검출","적합"
"8","소스","지바현","2018-04-26","2,643","불검출","불검출","적합"
"9","소스","지바현","2018-05-02","2,970","불검출","불검출","적합"
"10","향신료조제품","사이타마현","2018-03-28","72","불검출","불검출","적합"
"11","기타 농산가공품","미에현","2018-04-12","72","불검출","불검출","적합"
"12","빵류","히로시마현","2018-05-07","78","불검출","불검출","적합"
"13","곡류가공품","오사카부","2018-03-12","500","불검출","불검출","적합"
"14","카레(커리)","나가노현","2018-03-05","4,000","불검출","불검출","적합"
"15","카레(커리)","나가노현","2018-03-16","5,000","불검출","불검출","적합"
