"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","82,499","-","-","-"
"1","마른다랑어
(가다랑어,훈제)","가고시마현","2016-06-27","10,800","불검출","불검출","적합"
"2","활전갱이
(흑점줄전갱이)","에히메현","2016-06-27","1,912","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-06-27","7,135","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-06-27","10,955","불검출","불검출","적합"
"5","냉동가리비
(외투막)","홋카이도","2016-06-27","24,000","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-06-27","1,054","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-06-27","2,461","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-06-27","12,425","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-06-27","536","불검출","불검출","적합"
"10","냉장갈치","에히메현","2016-06-27","430","불검출","불검출","적합"
"11","냉장병어","효고현","2016-06-27","144","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-06-27","3,276","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-06-27","5,365","불검출","불검출","적합"
"14","냉장갈치","오이타현","2016-06-27","40","불검출","불검출","적합"
"15","활게
(왕밤송이게)","홋카이도","2016-06-27","568","불검출","불검출","적합"
"16","냉장갈치","에히메현","2016-06-27","320","불검출","불검출","적합"
"17","활돔(돌돔)","미에현","2016-06-27","1,078","불검출","불검출","적합"
