"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","91,782","-","-","-"
"1","냉동상어
(청상아리)","대만","2016-06-29","3,760","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,F,횟감)","대만","2016-06-29","4,340","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2016-06-29","23,500","불검출","불검출","적합"
"4","냉동가자미
(각시가자미)","러시아","2016-06-29","23,500","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2016-06-29","14,352","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-06-29","22,330","불검출","불검출","적합"
