"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동가자미(각시가자미)","러시아","2017-08-30","22,050","불검출","불검출","적합"
"2","냉동명태(F)","러시아","2017-08-30","23,250","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2017-08-30","1,000","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2017-08-30","12,960","불검출","불검출","적합"
"5","냉동명태(F)","러시아","2017-08-30","23,625","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-08-30","22,420","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2017-08-30","22,110","불검출","불검출","적합"
"8","냉동다랑어(황다랑어,볼살)","중국","2017-08-30","3,070","불검출","불검출","적합"
"9","냉동대구","러시아","2017-08-30","2,193","불검출","불검출","적합"
"10","냉동명태","러시아","2017-08-30","113,432","불검출","불검출","적합"
"합계","","-","-","246,110","-","-","-"
