"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 89건","","","","552,274","","",""
"1","드레싱","후쿠시마현","2017-06-21","240","불검출","불검출","적합"
"2","소스류","지바현","2017-07-31","5,027","불검출","불검출","적합"
"3","청주","효고현","2017-07-11","1,536","불검출","불검출","적합"
"4","혼합제제","오사카부","2017-03-21","50","불검출","불검출","적합"
"5","혼합제제","사이타마현","2017-08-18","18","불검출","불검출","적합"
"6","기타주류","와카야마현","2017-08-02","66,360","불검출","불검출","적합"
"7","양조간장","지바현","2017-06-28","10,530","불검출","불검출","적합"
"8","액상차","미에현","2017-07-31","600","불검출","불검출","적합"
"9","액상차","미에현","2017-08-04","600","불검출","불검출","적합"
"10","소스류","도치기현","2017-07-17","450","불검출","불검출","적합"
"11","소스류","도치기현","2017-07-31","36","불검출","불검출","적합"
"12","소스류","히로시마현","2017-08-07","720","불검출","불검출","적합"
"13","수산물조림","후쿠이현","2017-06-30","17","불검출","불검출","적합"
