"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","23,528","-","-","-"
"1","활장어(먹장어)","나가사키현","2014-09-12","1,558","불검출","불검출","적합"
"2","활가리비","홋카이도","2014-09-12","5,000","불검출","불검출","적합"
"3","냉장홍어","홋카이도","2014-09-12","745","불검출","불검출","적합"
"4","냉장갈치","에히메현","2014-09-12","590","불검출","불검출","적합"
"5","냉장명태","홋카이도","2014-09-12","2,070","불검출","불검출","적합"
"6","냉장명태","홋카이도","2014-09-12","1,937","불검출","불검출","적합"
"7","냉장명태","홋카이도","2014-09-12","1,937","불검출","불검출","적합"
"8","활우렁쉥이","홋카이도","2014-09-12","7,611","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2014-09-12","840","불검출","불검출","적합"
"10","냉동다랑어
(눈다랑어,목살,횟감)","태평양","2014-09-12","1,000","불검출","불검출","적합"
"11","냉동큰실말","오키나와현","2014-09-12","240","불검출","불검출","적합"
