"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","후쿠오카현","2016-04-20","1,032","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-04-20","1,644","불검출","불검출","적합"
"19","활가리비","홋카이도","2016-04-20","7,171","불검출","불검출","적합"
"20","활가리비","홋카이도","2016-04-20","6,797","불검출","불검출","적합"
"21","냉장명태","홋카이도","2016-04-20","7,098","불검출","불검출","적합"
"22","냉장대구","홋카이도","2016-04-20","1,120","불검출","불검출","적합"
"23","냉장홍어","홋카이도","2016-04-20","340","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-04-20","7,111","불검출","불검출","적합"
"25","냉장대구","홋카이도","2016-04-20","1,120","불검출","불검출","적합"
"26","활가리비","홋카이도","2016-04-20","6,950","불검출","불검출","적합"
"27","활장어 먹장어
(
)","후쿠오카현","2016-04-20","1,681","불검출","불검출","적합"
"28","냉장갈치","히로시마현","2016-04-20","415","불검출","불검출","적합"
"29","활게 참게(
)","야마구치현","2016-04-20","780","불검출","불검출","적합"
"30","냉동멸치","나가사키현","2016-04-20","23,940","불검출","불검출","적합"
"31","활장어 먹장어
(
)","나가사키현","2016-04-20","2,580","불검출","불검출","적합"
