"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","308,839","-","-","-"
"1","냉동곤이 대구(
)","러시아","2016-04-21","17,978","불검출","불검출","적합"
"2","냉동명태","러시아","2016-04-21","152,960","불검출","불검출","적합"
"3","냉동가자미
(
각시가자미
)","러시아","2016-04-21","23,500","불검출","불검출","적합"
"4","냉동곤이 명태(
)","러시아","2016-04-21","18,203","불검출","불검출","적합"
"5","냉동곤이 명태(
)","러시아","2016-04-21","8,280","불검출","불검출","적합"
"6","냉동가자미
(
각시가자미
)","러시아","2016-04-21","23,490","불검출","불검출","적합"
"7","냉동상어
(
청상아리
)","대만","2016-04-21","19,629","불검출","불검출","적합"
"8","냉동곤이 명태(
)","러시아","2016-04-21","17,978","불검출","불검출","적합"
"9","냉동곤이 명태(
)","러시아","2016-04-21","18,203","불검출","불검출","적합"
"10","냉동곤이 명태(
)","러시아","2016-04-21","8,618","불검출","불검출","적합"
