"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","81,777","-","-","-"
"1","활돔 참돔(
)","나가사키현","2016-04-22","3,889","불검출","불검출","적합"
"2","활가리비","홋카이도","2016-04-22","8,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-04-22","7,960","불검출","불검출","적합"
"4","냉동문어","홋카이도","2016-04-22","115","불검출","불검출","적합"
"5","냉동멸치","나가사키현","2016-04-22","24,000","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-04-22","7,011","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-04-22","2,236","불검출","불검출","적합"
"8","냉장갑오징어","후쿠오카현","2016-04-22","1,208","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-04-22","2,160","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2016-04-22","3,495","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-04-22","2,400","불검출","불검출","적합"
"12","활돔 돌돔(
)","나가사키현","2016-04-22","1,187","불검출","불검출","적합"
"13","활해삼","미에현","2016-04-22","1,030","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-04-22","7,057","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-04-22","7,052","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2016-04-22","581","불검출","불검출","적합"
