"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","45,452","-","-","-"
"1","활돔(참돔)","에히메현","2016-08-26","8,576","불검출","불검출","적합"
"2","활장어(먹장어)","나가사키현","2016-08-26","714","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-08-26","7,200","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-08-26","7,000","불검출","불검출","적합"
"5","냉장홍어","야마구치현","2016-08-26","130","불검출","불검출","적합"
"6","냉장돔(황돔)","나가사키현","2016-08-26","76","불검출","불검출","적합"
"7","냉장돔(참돔)","야마구치현","2016-08-26","90","불검출","불검출","적합"
"8","냉장돔(황돔)","야마구치현","2016-08-26","602","불검출","불검출","적합"
"9","냉장돔(참돔)","야마구치현","2016-08-26","1,645","불검출","불검출","적합"
"10","냉장돔(황돔)","야마구치현","2016-08-26","265","불검출","불검출","적합"
"11","냉장병어","야마구치현","2016-08-26","270","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-08-26","7,001","불검출","불검출","적합"
"13","활장어(먹장어)","후쿠오카현","2016-08-26","4,689","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-08-26","7,194","불검출","불검출","적합"
