"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"80","볶은커피","시즈오카현","2017-10-12","259","불검출","불검출","적합"
"81","볶은커피","시즈오카현","2017-09-14","259","불검출","불검출","적합"
"82","프로테아제(세균성)","효고현","2017-09-26","240","불검출","불검출","적합"
"83","혼합제제","히로시마현","2017-10-17","90","불검출","불검출","적합"
"84","향신료조제품","시즈오카현","2017-09-25","3,240","불검출","불검출","적합"
"85","소스","사이타마현","2017-08-05","109","불검출","불검출","적합"
"86","혼합음료","효고현","2017-09-11","1,512","불검출","불검출","적합"
"87","고형차","교토부","2017-10-20","690","불검출","불검출","적합"
"88","당류가공품","나가노현","2017-09-25","23","불검출","불검출","적합"
"89","당류가공품","효고현","2017-10-20","128","불검출","불검출","적합"
"90","과자(스낵과자)","니가타현","2017-10-25","612","불검출","불검출","적합"
"91","과자(비스킷)","아이치현","2017-10-18","355","불검출","불검출","적합"
"92","과자(쿠키)","도쿠시마현","2017-10-19","462","불검출","불검출","적합"
"93","과자(스낵과자)","도쿠시마현","2017-10-20","600","불검출","불검출","적합"
"94","과자(스낵과자)","사이타마현","2017-10-16","240","불검출","불검출","적합"
"95","액상차","기후현","2017-09-15","1,332","불검출","불검출","적합"
"96","액상차","야마구치현","2017-09-01","1,183","불검출","불검출","적합"
"97","탄산음료","시즈오카현","2017-09-13","2,016","불검출","불검출","적합"
"98","캔디류(캐러멜)","도치기현","2017-07-18","115","불검출","불검출","적합"
"99","청주","아오모리현","2017-10-16","7,020","불검출","불검출","적합"
"100","캔디류(캐러멜)","도치기현","2017-08-02","112","불검출","불검출","적합"
"101","혼합음료","효고현","2017-10-18","3,024","불검출","불검출","적합"
"102","카레","나라현","2017-09-12","5,000","불검출","불검출","적합"
"103","복합조미식품","나라현","2017-09-07","800","불검출","불검출","적합"
"104","복합조미식품","나라현","2017-09-07","200","불검출","불검출","적합"
"105","탄산음료","아이치현","2017-06-27","780","불검출","불검출","적합"
