"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 105건","","","","278,874","","",""
"1","어묵","효고현","2017-10-27","6,154","불검출","불검출","적합"
"2","토마토케첩","히로시마현","2017-09-27","336","불검출","불검출","적합"
"3","소스","히로시마현","2017-09-14","336","불검출","불검출","적합"
"4","소스","히로시마현","2017-09-27","336","불검출","불검출","적합"
"5","캔디류(사탕)","나라현","2017-10-20","202","불검출","불검출","적합"
"6","캔디류(사탕)","나라현","2017-10-21","151","불검출","불검출","적합"
"7","캔디류(사탕)","나라현","2017-10-06","76","불검출","불검출","적합"
"8","어묵","시마네현","2017-10-20","1,600","불검출","불검출","적합"
"9","어묵","시마네현","2017-10-09","2,226","불검출","불검출","적합"
"10","어묵","시마네현","2017-10-15","2,000","불검출","불검출","적합"
"11","어묵","시마네현","2017-10-02","1,344","불검출","불검출","적합"
"12","어묵","시마네현","2017-09-29","720","불검출","불검출","적합"
"13","어묵","시마네현","2017-10-02","150","불검출","불검출","적합"
