"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 95건","","","","538,057","","",""
"1","청주","효고현","2017-10-16","864","불검출","불검출","적합"
"2","청주","효고현","2017-10-16","43","불검출","불검출","적합"
"3","즉석조리식품","미에현","2017-10-02","20,381","불검출","불검출","적합"
"4","즉석조리식품","미에현","2017-10-01","6,103","불검출","불검출","적합"
"5","즉석조리식품","미에현","2017-09-30","7,592","불검출","불검출","적합"
"6","카레","도치기현","2017-08-08","444","불검출","불검출","적합"
"7","국수","구마모토현","2017-10-30","4,681","불검출","불검출","적합"
"8","된장","나가노현","2017-10-16","1,771","불검출","불검출","적합"
"9","혼합장","나가노현","2017-10-17","576","불검출","불검출","적합"
"10","조미된장","나가노현","2017-10-23","200","불검출","불검출","적합"
"11","혼합장","나가노현","2017-10-13","416","불검출","불검출","적합"
"12","빵류(카스텔라)","야마나시현","2017-10-26","175","불검출","불검출","적합"
"13","혼합제제","시즈오카현","2017-09-14","1,848","불검출","불검출","적합"
