"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 138건","","","","274,517","","",""
"1","향신료조제품","시즈오카현","2018-09-07","203","불검출","불검출","적합"
"2","빵류","아오모리현","2019-01-17","2,244","불검출","불검출","적합"
"3","맥주","오이타현","2019-01-01","8,280","불검출","불검출","적합"
"4","소스","히로시마현","2019-01-11","330","불검출","불검출","적합"
"5","젤라틴","시즈오카현","2018-11-26","1,500","불검출","불검출","적합"
"6","소스","가나가와현","2019-01-16","1,762","불검출","불검출","적합"
"7","구연산","가고시마현","2018-11-28","200","불검출","불검출","적합"
"8","당류가공품","시즈오카현","2018-11-26","10,000","불검출","불검출","적합"
"9","혼합제제","시즈오카현","2019-01-15","2,024","불검출","불검출","적합"
"10","소스","군마현","2018-11-22","282","불검출","불검출","적합"
"11","발효식초","도치기현","2018-12-04","3,108","불검출","불검출","적합"
"12","소스","군마현","2018-12-15","254","불검출","불검출","적합"
"13","소스","도치기현","2018-12-17","9,009","불검출","불검출","적합"
"14","소주","미야자키현","2019-01-09","60","불검출","불검출","적합"
