"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","440","2,198,607","0","0","355","2,111,680","2","468","83","86,459"
"1.29","80","937,199","0","0","56","920,273","0","0","24","16,926"
"1.30","106","247,629","0","0","83","229,755","1","184","22","17,690"
"1.31","104","468,665","0","0","86","451,665","0","0","18","17,000"
"2.1","150","545,114","0","0","130","509,987","1","284","19","34,843"
"","","","","","","","","","",""
