"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","290","1,653,493","0","0","225","1,601,693","1","184","64","51,616"
"1.29","80","937,199","0","0","56","920,273","0","0","24","16,926"
"1.30","106","247,629","0","0","83","229,755","1","184","22","17,690"
"1.31","104","468,665","0","0","86","451,665","0","0","18","17,000"
"","","","","","","","","","",""
"","","","","","","","","","",""
