"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","95,969","-","-","-"
"1","냉장명태","홋카이도","2016-09-26","3,939","불검출","불검출","적합"
"2","냉장대구","홋카이도","2016-09-26","110","불검출","불검출","적합"
"3","냉장홍어","홋카이도","2016-09-26","128","불검출","불검출","적합"
"4","냉장명태","홋카이도","2016-09-26","3,926","불검출","불검출","적합"
"5","냉장대구","홋카이도","2016-09-26","120","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2016-09-26","13,195","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-09-26","612","불검출","불검출","적합"
"8","냉동다랑어
(남방참다랑어,목살)","태평양","2016-09-26","105","불검출","불검출","적합"
"9","냉동다랑어
(남방참다랑어,목살)","인도양","2016-09-26","315","불검출","불검출","적합"
"10","냉동새치
(황새치,F,횟감)","태평양","2016-09-26","505","불검출","불검출","적합"
"11","냉동가리비
(외투막)","홋카이도","2016-09-26","24,000","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-09-26","7,014","불검출","불검출","적합"
"13","냉동가리비
(외투막)","홋카이도","2016-09-26","42,000","불검출","불검출","적합"
