"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"16","냉장갈치","오이타현","2016-09-28","610","불검출","불검출","적합"
"17","냉장돔(참돔)","나가사키현","2016-09-28","112","불검출","불검출","적합"
"18","냉장돔(황돔)","나가사키현","2016-09-28","204","불검출","불검출","적합"
"19","냉장홍어","홋카이도","2016-09-28","10,587","불검출","불검출","적합"
"20","활가리비","홋카이도","2016-09-28","6,944","불검출","불검출","적합"
"21","냉장갈치","오이타현","2016-09-28","800","불검출","불검출","적합"
"22","냉장갈치","야마구치현","2016-09-28","870","불검출","불검출","적합"
"23","냉장명태","홋카이도","2016-09-28","4,004","불검출","불검출","적합"
"24","냉장돔(참돔)","야마구치현","2016-09-28","230","불검출","불검출","적합"
"25","냉장홍어","야마구치현","2016-09-28","120","불검출","불검출","적합"
"26","활꼬막","사가현","2016-09-28","2,500","불검출","불검출","적합"
"27","활꼬막(새꼬막)","사가현","2016-09-28","1,000","불검출","불검출","적합"
"28","냉장명태","홋카이도","2016-09-28","4,004","불검출","불검출","적합"
"29","냉장대구","홋카이도","2016-09-28","180","불검출","불검출","적합"
"30","활가리비","홋카이도","2016-09-28","7,025","불검출","불검출","적합"
"31","활가리비","홋카이도","2016-09-28","1,808","불검출","불검출","적합"
"32","활우렁쉥이","홋카이도","2016-09-28","2,430","불검출","불검출","적합"
"33","활게(참게)","후쿠오카현","2016-09-28","613","불검출","불검출","적합"
"34","활우렁쉥이","홋카이도","2016-09-28","8,997","불검출","불검출","적합"
