"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","83,941","-","-","-"
"1","냉동전갱이
(흑점줄전갱이,F,
포장횟감)","가고시마현","2016-09-28","650","불검출","불검출","적합"
"2","냉동만새기
(F,  포장횟감)","가고시마현","2016-09-28","299","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-09-28","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-09-28","7,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2016-09-28","7,000","불검출","불검출","적합"
"6","냉동새치
(황새치,F,횟감)","인도양","2016-09-28","826","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-09-28","3,900","불검출","불검출","적합"
"8","냉장대구","홋카이도","2016-09-28","384","불검출","불검출","적합"
"9","냉장갈치","오이타현","2016-09-28","165","불검출","불검출","적합"
"10","냉장가오리","야마구치현","2016-09-28","60","불검출","불검출","적합"
"11","냉장홍어","야마구치현","2016-09-28","160","불검출","불검출","적합"
"12","냉장명태","홋카이도","2016-09-28","936","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-09-28","1,714","불검출","불검출","적합"
"14","냉장갈치","후쿠오카현","2016-09-28","665","불검출","불검출","적합"
"15","냉장돔(황돔)","후쿠오카현","2016-09-28","144","불검출","불검출","적합"
