"37","혼합제제","2017-04-03","미에현","192","불검출","불검출","적합"
"38","가공두부","2017-04-13","후쿠오카현","4,310","불검출","불검출","적합"
"39","과자(스낵과자)","2017-04-06","사이타마현","96","불검출","불검출","적합"
"40","추잉껌","2016-09-07","아이치현","3,960","불검출","불검출","적합"
"41","비타민/가르시니아
캄보지아껍질추출물","2017-02-10","도야마현","318","불검출","불검출","적합"
"42","소스류","2017-04-18","오카야마현","501","불검출","불검출","적합"
"43","커피/건조","2014-11-14","브라질","5,280","불검출","불검출","적합"
"44","초콜릿가공품","2017-04-13","오사카부","2,295","불검출","불검출","적합"
"45","기타코코아가공품","2017-01-26","이바라키현","152","불검출","불검출","적합"
"46","혼합제제","2017-03-16","오카야마현","60","불검출","불검출","적합"
"47","혼합제제","2017-03-16","오카야마현","240","불검출","불검출","적합"
"48","혼합제제","2017-03-27","오카야마현","420","불검출","불검출","적합"
"49","혼합제제","2017-03-15","오카야마현","45","불검출","불검출","적합"
"50","과자(웨이퍼)","2017-04-03","아이치현","96","불검출","불검출","적합"
"51","과자(쿠키)","2017-04-06","도쿠시마현","330","불검출","불검출","적합"
"52","과자(쿠키)","2017-04-07","도쿠시마현","198","불검출","불검출","적합"
"53","캔디류(사탕)","2017-03-22","후쿠시마현","123","불검출","불검출","적합"
"54","캔디류(사탕)","2017-04-05","후쿠시마현","192","불검출","불검출","적합"
"55","과자(스낵과자)","2017-04-06","사이타마현","360","불검출","불검출","적합"
"56","기타가공품","2016-04-25","시즈오카현","960","불검출","불검출","적합"
"57","소스류","2017-02-23","지바현","3,000","불검출","불검출","적합"
"58","소스류","2017-03-06","사이타마현","1,500","불검출","불검출","적합"
"59","혼합제제","2017-02-03","사이타마현","40","불검출","불검출","적합"
"60","혼합제제","2017-04-07","사이타마현","72","불검출","불검출","적합"
"61","혼합제제","2017-04-10","사이타마현","120","불검출","불검출","적합"
"62","혼합제제","2017-04-10","사이타마현","72","불검출","불검출","적합"
