"63","혼합제제","2017-04-10","사이타마현","32","불검출","불검출","적합"
"64","혼합제제","2017-04-06","사이타마현","160","불검출","불검출","적합"
"65","혼합제제","2017-04-11","사이타마현","32","불검출","불검출","적합"
"66","건어포류","2017-02-20","에히메현","580","불검출","불검출","적합"
"67","과자(비스킷)","2017-04-12","나가사키현","69","불검출","불검출","적합"
"68","장류절임","2017-04-01","도치기현","150","불검출","불검출","적합"
"69","과자(크래커)","2017-03-13","아이치현","59","불검출","불검출","적합"
"70","과자(스낵과자)","2017-03-14","아이치현","269","불검출","불검출","적합"
"71","조미건어포류","2017-03-13","훗카이도","26","불검출","불검출","적합"
"72","기타가공품","2017-02-22","훗카이도","21","불검출","불검출","적합"
"73","기타장류","2017-04-04","후쿠오카현","530","불검출","불검출","적합"
"74","양념젓갈","2017-03-03","후쿠오카현","24","불검출","불검출","적합"
"75","소스류","2017-03-28","후쿠오카현","159","불검출","불검출","적합"
"76","청주","2017-03-16","이와테현","86","불검출","불검출","적합"
"77","양념젓갈","2017-03-14","후쿠오카현","24","불검출","불검출","적합"
"78","캔디류(캐러멜)","2017-02-02","가고시마현","72","불검출","불검출","적합"
"79","과자(크래커)","2017-03-22","아이치현","31","불검출","불검출","적합"
"80","과자(크래커)","2017-03-14","시즈오카현","155","불검출","불검출","적합"
"81","캔디류(사탕)","2017-03-15","아이치현","180","불검출","불검출","적합"
"82","조미건어포류","2017-03-18","훗카이도","23","불검출","불검출","적합"
