"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","725,082","-","-","-"
"1","냉동새우살","방글라데시 2017-05-04","","10,120","불검출","불검출","적합"
"2","냉동대구","러시아","2017-05-04","3,900","불검출","불검출","적합"
"3","냉동대구(F)","러시아","2017-05-04","7,605","불검출","불검출","적합"
"4","냉동명태(F)","러시아","2017-05-04","16,185","불검출","불검출","적합"
"5","냉동곤이(명태)","러시아","2017-05-04","9,720","불검출","불검출","적합"
"6","냉동명태","러시아","2017-05-04","172,645","불검출","불검출","적합"
"7","마 른 해 삼 ( 자 숙 ,
썰은)","중국(홍콩)","2017-05-04","288","불검출","불검출","적합"
"8","냉동명태","러시아","2017-05-04","444,319","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2017-05-04","22,800","불검출","불검출","적합"
"10","냉동명태","러시아","2017-05-04","5,000","불검출","불검출","적합"
"11","냉동가자미(각시
가자미)","러시아","2017-05-04","22,500","불검출","불검출","적합"
"12","냉동명태","러시아","2017-05-04","10,000","불검출","불검출","적합"
