"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","11건","-","-","444,674","-","-","-"
"1","냉동대구(목살)","러시아","2015-1-26","11,373","불검출","불검출","적합"
"2","냉동대구(목살)","러시아","2015-1-26","8,347","불검출","불검출","적합"
"3","냉동가자미(각시가자미) 러시아","","2015-1-26","21,175","불검출","불검출","적합"
"4","냉동가자미(각시가자미) 러시아","","2015-1-26","23,000","불검출","불검출","적합"
"5","냉동대구(F)","러시아","2015-1-26","2,000","불검출","불검출","적합"
"6","냉동대구(F)","러시아","2015-1-26","4,680","불검출","불검출","적합"
"7","냉동대구(F)","러시아","2015-1-26","3,000","불검출","불검출","적합"
"8","냉동가자미(각시가자미) 미국","","2015-1-26","40,000","불검출","불검출","적합"
"9","냉동꽁치","대만","2015-1-26","108,345","불검출","불검출","적합"
"10","냉동꽁치","대만","2015-1-26","111,154","불검출","불검출","적합"
"11","냉동꽁치","대만","2015-1-26","111,600","불검출","불검출","적합"
