"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","8건","-","-","327,791","-","-","-"
"1","냉동곤이(명태)","러시아","2014-04-14","1,104","불검출","불검출","적합"
"2","냉동명태","러시아","2014-04-14","150,070","불검출","불검출","적합"
"3","냉동가자미(말가자미)","미국","2014-04-14","48,276","불검출","불검출","적합"
"4","냉동어란(명란)","러시아","2014-04-14","35,272","불검출","불검출","적합"
"5","냉동명태","미국","2014-04-14","46,235","불검출","불검출","적합"
"6","냉동다랑어
(눈다랑어,목살)","대만","2014-04-14","1,554","불검출","불검출","적합"
"7","냉동고등어","중국","2014-04-14","23,380","불검출","불검출","적합"
"8","냉동고등어","중국","2014-04-14","21,900","불검출","불검출","적합"
