"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","25건","-","-","55,354","-","-","-"
"1","활돔(돌돔)","미에현","2014-04-14","1,497","불검출","불검출","적합"
"2","활가리비","홋카이도","2014-04-14","7,000","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-04-14","7,200","불검출","불검출","적합"
"4","활가리비","홋카이도","2014-04-14","6,800","불검출","불검출","적합"
"5","활장어(붕장어)","나가사키현","2014-04-14","346","불검출","불검출","적합"
"6","냉장명태","홋카이도","2014-04-14","4,500","불검출","불검출","적합"
"7","냉장갈치","와카야마현","2014-04-14","272","불검출","불검출","적합"
"8","활가리비","홋카이도","2014-04-14","5,991","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2014-04-14","656","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2014-04-14","512","불검출","불검출","적합"
"11","냉장갑오징어","야마구치현","2014-04-14","118","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2014-04-14","116","불검출","불검출","적합"
"13","냉장갈치","와카야마현","2014-04-14","384","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2014-04-14","290","불검출","불검출","적합"
"15","냉장가오리","야마구치현","2014-04-14","360","불검출","불검출","적합"
"16","활가리비","홋카이도","2014-04-14","6,712","불검출","불검출","적합"
"17","냉장명태","홋카이도","2014-04-14","5,666","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2014-04-14","1,192","불검출","불검출","적합"
"19","냉장준치","와카야마현","2014-04-14","784","불검출","불검출","적합"
"20","냉장명태","홋카이도","2014-04-14","3,000","불검출","불검출","적합"
