"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"59","캔디류(젤리)","아이치현","2014-09-05","189.84","불검출","불검출","적합"
"60","캔디류(젤리)","아이치현","2014-08-29","135.6","불검출","불검출","적합"
"61","청주","도치기현","2014-08-22","8,640","불검출","불검출","적합"
"62","청주","교토부","2014-09-05","13,888.8","불검출","불검출","적합"
"63","청주","교토부","2014-08-29","19,353.6","불검출","불검출","적합"
"64","쇼트닝","오사카부","2014-08-28","250","불검출","불검출","적합"
"65","DL-알라닌","이바라키현","2014-05-17","3,000","불검출","불검출","적합"
"66","글루콘산칼슘","도쿠시마현","2014-09-01","2,000","불검출","불검출","적합"
"67","합성착향료","가나가와현","2014-09-07","2","불검출","불검출","적합"
"68","초콜릿가공품","도쿄도","2014-08-06","66.7","불검출","불검출","적합"
"69","초콜릿가공품","도쿄도","2014-08-18","4.3","불검출","불검출","적합"
"70","커피/건조","에티오피아","2014-05-07","19,140.4","불검출","불검출","적합"
"71","글리세린지방산
에스테르","미에현","2014-08-06","112","불검출","불검출","적합"
"72","건어포류","에히메현","2014-07-28","768","불검출","불검출","적합"
"73","조미된장","아이치현","2014-08-26","10,000","불검출","불검출","적합"
"74","조미된장","아이치현","2014-07-17","6,000","불검출","불검출","적합"
"75","맥주","후쿠오카현","2014-08-21","16,800","불검출","불검출","적합"
"76","맥주","후쿠오카현","2014-08-14","52,380","불검출","불검출","적합"
"77","과자(쿠키)","도쿠시마현","2014-09-09","360","불검출","불검출","적합"
"78","과자(쿠키)","도쿠시마현","2014-09-09","330","불검출","불검출","적합"
"79","곡류가공품","훗카이도","2014-08-22","1,000","불검출","불검출","적합"
"80","발효식초","가고시마현","2014-08-20","504","불검출","불검출","적합"
"81","양조간장","후쿠오카현","2014-09-10","4,425.6","불검출","불검출","적합"
"82","유탕면류","아이치현","2014-08-23","311.22","불검출","불검출","적합"
"83","유탕면류","아이치현","2014-08-08","307.8","불검출","불검출","적합"
"84","고구마전분","가고시마현","2013-10-08","74,000","불검출","불검출","적합"
"85","호박/신선,냉장","효고현","2014-09-22","24,000","불검출","불검출","적합"
"86","향신료조제품
(고추냉이가공품)","도쿄도","2014-09-08","3,960","불검출","불검출","적합"
"87","건어포류","에히메현","2014-08-08","1,080","불검출","불검출","적합"
"88","소스류","히로시마현","2014-09-09","880","불검출","불검출","적합"
"89","소스류","히로시마현","2014-09-03","1,320","불검출","불검출","적합"
"90","소스류","히로시마현","2014-09-09","3,664.8","불검출","불검출","적합"
"91","소스류","히로시마현","2014-09-04","1,260","불검출","불검출","적합"
"92","소스류","지바현","2014-07-18","552","불검출","불검출","적합"
"93","소스류","지바현","2014-08-21","381","불검출","불검출","적합"
"94","혼합제제","오이타현","2014-08-09","1,000","불검출","불검출","적합"
"95","양조간장","지바현","2014-08-28","12,116","불검출","불검출","적합"
"96","양조간장","지바현","2014-08-01","6,809","불검출","불검출","적합"
