"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","76","","296,544","","",""
"1","양조간장","지바현","2015-08-05","8,525","불검출","불검출","적합"
"2","맥주","오이타현","2015-09-15","49,680","불검출","불검출","적합"
"3","기타가공품","이바라키현","2015-09-16","1,000","불검출","불검출","적합"
"4","청주","돗토리현","2015-09-29","122.4","불검출","불검출","적합"
"5","치자청색소","효고현","2015-10-02","50.05","불검출","불검출","적합"
"6","맥주","오이타현","2015-09-15","66,240","불검출","불검출","적합"
"7","과자(스낵과자)","사이타마현","2015-04-30","1,256","불검출","불검출","적합"
"8","과자(스낵과자)","사이타마현","2015-04-29","1,256","불검출","불검출","적합"
"9","과실주","가나가와현","2015-09-08","816","불검출","불검출","적합"
"10","야자유","가나가와현","2015-07-23","1,120","불검출","불검출","적합"
"11","소스류","오사카부","2015-09-28","2,100","불검출","불검출","적합"
"12","청주","효고현","2015-08-25","345.6","불검출","불검출","적합"
"13","청주","효고현","2015-09-08","4,320","불검출","불검출","적합"
"14","국수","구마모토현","2015-09-18","532.8","불검출","불검출","적합"
