"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건30","-","-","127,284","-","-","-"
"1","활돔 쥐돔(
)","고치현","2015-09-23","1,779","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-09-23","7,180","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-09-23","7,200","불검출","불검출","적합"
"4","냉장돔 참돔(
)","야마구치현","2015-09-23","300","불검출","불검출","적합"
"5","냉동다랑어
(
눈다랑어 횟감
,F,
)","가나가와현","2015-09-23","4,398","불검출","불검출","적합"
"6","냉동새치
(
황새치 횟감
,F,
)","가나가와현","2015-09-23","597","불검출","불검출","적합"
"7","냉동새치
(
황새치 횟감
,F,
)","태평양","2015-09-23","8","불검출","불검출","적합"
"8","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2015-09-23","4,940","불검출","불검출","적합"
"9","활우렁쉥이","홋카이도","2015-09-23","9,125","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-09-23","11,651","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2015-09-23","7,797","불검출","불검출","적합"
"12","냉동상어
(
청상아리
,F)","대서양","2015-09-23","1,357","불검출","불검출","적합"
"13","냉동새치 돛새치
(
)","인도양","2015-09-23","3,737","불검출","불검출","적합"
"14","활가리비","홋카이도","2015-09-23","12,000","불검출","불검출","적합"
"15","냉장명태","홋카이도","2015-09-23","1,632","불검출","불검출","적합"
"16","냉장홍어","홋카이도","2015-09-23","12,124","불검출","불검출","적합"
