"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"42","냉장갈치","오이타현","2015-09-22","1,350","불검출","불검출","적합"
"43","냉장갈치","야마구치현","2015-09-22","610","불검출","불검출","적합"
"44","활우렁쉥이","홋카이도","2015-09-22","4,331","불검출","불검출","적합"
"45","활우렁쉥이","홋카이도","2015-09-22","3,430","불검출","불검출","적합"
"46","활장어 먹장어
(
)","야마구치현","2015-09-22","386","불검출","불검출","적합"
"47","활문어","효고현","2015-09-22","652","불검출","불검출","적합"
"48","냉장갈치","에히메현","2015-09-22","764","불검출","불검출","적합"
"49","냉장갈치","와카야마현","2015-09-22","408","불검출","불검출","적합"
"50","냉장명태","홋카이도","2015-09-22","4,342","불검출","불검출","적합"
"51","냉장명태","홋카이도","2015-09-22","4,355","불검출","불검출","적합"
"52","활꼬막","후쿠오카현","2015-09-22","254","불검출","불검출","적합"
"53","냉장홍어","홋카이도","2015-09-22","158","불검출","불검출","적합"
"54","냉장갈치","와카야마현","2015-09-22","400","불검출","불검출","적합"
"55","냉동문어","홋카이도","2015-09-22","2,415","불검출","불검출","적합"
"56","활장어 먹장어
(
)","후쿠오카현","2015-09-22","4,569","불검출","불검출","적합"
"57","활장어 먹장어
(
)","야마구치현","2015-09-22","1,141","불검출","불검출","적합"
