"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"21","활가리비","홋카이도","2015-09-22","6,997","불검출","불검출","적합"
"22","활문어","나가사키현","2015-09-22","629","불검출","불검출","적합"
"23","냉장돔 황돔(
)","야마구치현","2015-09-22","190","불검출","불검출","적합"
"24","활돔 벵에돔
(
)","나가사키현","2015-09-22","245","불검출","불검출","적합"
"25","활우렁쉥이","홋카이도","2015-09-22","8,500","불검출","불검출","적합"
"26","활우렁쉥이","홋카이도","2015-09-22","8,500","불검출","불검출","적합"
"27","활우렁쉥이","홋카이도","2015-09-22","8,479","불검출","불검출","적합"
"28","냉장갈치","오이타현","2015-09-22","430","불검출","불검출","적합"
"29","냉장돔 참돔(
)","나가사키현","2015-09-22","451","불검출","불검출","적합"
"30","냉장돔 참돔(
)","나가사키현","2015-09-22","144","불검출","불검출","적합"
"31","냉장돔 참돔(
)","야마구치현","2015-09-22","305","불검출","불검출","적합"
"32","활우렁쉥이","홋카이도","2015-09-22","9,120","불검출","불검출","적합"
"33","냉장홍어","홋카이도","2015-09-22","2,931","불검출","불검출","적합"
"34","활가리비","홋카이도","2015-09-22","7,000","불검출","불검출","적합"
"35","냉장돔 황돔(
)","야마구치현","2015-09-22","655","불검출","불검출","적합"
"36","냉장돔 참돔(
)","야마구치현","2015-09-22","800","불검출","불검출","적합"
"37","냉장갈치","와카야마현","2015-09-22","1,440","불검출","불검출","적합"
"38","냉장돔 황돔(
)","나가사키현","2015-09-22","124","불검출","불검출","적합"
"39","냉장돔 황돔(
)","나가사키현","2015-09-22","176","불검출","불검출","적합"
"40","냉장명태","홋카이도","2015-09-22","1,836","불검출","불검출","적합"
"41","활우렁쉥이","홋카이도","2015-09-22","9,800","불검출","불검출","적합"
