"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","기타주류","후쿠오카현","2017-09-05","108","불검출","불검출","적합"
"36","소스류","시즈오카현","2017-10-13","2,002","불검출","불검출","적합"
"37","소주","미야자키현","2017-10-11","86","불검출","불검출","적합"
"38","수산물가공품","미에현","2017-10-23","2,400","불검출","불검출","적합"
"39","소스류","후쿠오카현","2017-10-18","365","불검출","불검출","적합"
"40","캔디류(젤리)","군마현","2017-08-10","7,488","불검출","불검출","적합"
"41","국수","구마모토현","2017-10-07","2,901","불검출","불검출","적합"
"42","혼합장","야마나시현","2017-10-16","6,000","불검출","불검출","적합"
"43","국수","아이치현","2017-10-05","2,784","불검출","불검출","적합"
"44","혼합제제","지바현","2017-09-26","600","불검출","불검출","적합"
"45","청주","효고현","2017-08-22","1,296","불검출","불검출","적합"
"46","청주","구마모토현","2017-09-15","43","불검출","불검출","적합"
"47","맥주","후쿠오카현","2017-10-05","11,880","불검출","불검출","적합"
"48","혼합제제","와카야마현","2017-10-05","300","불검출","불검출","적합"
"49","국수","구마모토현","2017-10-07","733","불검출","불검출","적합"
"50","국수","구마모토현","2017-10-07","482","불검출","불검출","적합"
"51","유탕면류","나라현","2017-09-06","27","불검출","불검출","적합"
"52","국수","사이타마현","2017-10-03","880","불검출","불검출","적합"
"53","과자(한과류)","도쿠시마현","2017-09-10","1,050","불검출","불검출","적합"
"54","국수","사이타마현","2017-10-03","210","불검출","불검출","적합"
"55","혼합음료","구마모토현","2017-10-02","18,000","불검출","불검출","적합"
"56","국수","사이타마현","2017-10-03","205","불검출","불검출","적합"
"57","과자(한과류)","도쿠시마현","2017-09-14","1,225","불검출","불검출","적합"
"58","국수","사이타마현","2017-10-03","525","불검출","불검출","적합"
"59","캔디류(사탕)","아이치현","2017-10-20","292","불검출","불검출","적합"
