"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","170,476","-","-","-"
"1","냉동상어
(청상아리)","대만","2016-09-07","814","불검출","불검출","적합"
"2","냉동다랑어
(눈다랑어,목살)","대만","2016-09-07","525","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2016-09-07","23,500","불검출","불검출","적합"
"4","냉동다랑어
(눈다랑어,목살)","대만","2016-09-07","1,200","불검출","불검출","적합"
"5","냉동기름치","키리바시","2016-09-07","24,547","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2016-09-07","23,500","불검출","불검출","적합"
"7","마른명태","러시아","2016-09-07","12,400","불검출","불검출","적합"
"8","냉동가자미
(각시가자미)","러시아","2016-09-07","22,500","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2016-09-07","22,600","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2016-09-07","16,890","불검출","불검출","적합"
"11","냉동가자미
(각시가자미)","러시아","2016-09-07","22,000","불검출","불검출","적합"
