"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","99,245","-","-","-"
"1","활가리비","홋카이도","2016-09-08","6,989","불검출","불검출","적합"
"2","냉장명태","홋카이도","2016-09-08","5,384","불검출","불검출","적합"
"3","냉장돔(황돔)","야마구치현","2016-09-08","665","불검출","불검출","적합"
"4","냉장민어(수조기)","야마구치현","2016-09-08","126","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-09-08","8,222","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2016-09-08","5,500","불검출","불검출","적합"
"7","냉장병어","야마구치현","2016-09-08","140","불검출","불검출","적합"
"8","냉장준치","구마모토현","2016-09-08","406","불검출","불검출","적합"
"9","냉장돔(참돔)","야마구치현","2016-09-08","1,500","불검출","불검출","적합"
"10","냉장돔(황돔)","야마구치현","2016-09-08","1,450","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2016-09-08","418","불검출","불검출","적합"
"12","냉장돔(참돔)","야마구치현","2016-09-08","895","불검출","불검출","적합"
"13","냉장돔(황돔)","야마구치현","2016-09-08","35","불검출","불검출","적합"
"14","냉장가오리","후쿠오카현","2016-09-08","64","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-09-08","6,966","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-09-08","1,384","불검출","불검출","적합"
