"품목","계","","농산물","","가공식품","","건강기능식품","","식품첨가물",""
"접수
일자","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)","","건수
중량(㎏)",""
"합계","174","837,635","0","0","136","809,393","1","9","37","28,233"
"8.13","57","565,040","0","0","51","563,516","0","0","6","1,524"
"8.14","117","272,595","0","0","85","245,877","1","9","31","26,709"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
