"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동고등어","대만","2018-03-27","23,800","불검출","불검출","적합"
"2","냉동대구(머리)","러시아","2018-03-27","465","불검출","불검출","적합"
"3","냉동고등어","중국","2018-03-27","48,000","불검출","불검출","적합"
"4","냉동명태","러시아","2018-03-27","466,335","불검출","불검출","적합"
"5","냉동블루화이팅(F)","네덜란드","2018-03-27","23,000","불검출","불검출","적합"
"6","냉동어란(명란)","러시아","2018-03-27","3,174","불검출","불검출","적합"
"7","냉동다랑어(참다랑어,F,횟감)","모로코","2018-03-27","454","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","러시아","2018-03-27","22,500","불검출","불검출","적합"
"9","냉동고등어","대만","2018-03-27","24,000","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2018-03-27","21,300","불검출","불검출","적합"
"합계","","-","-","633,028","-","-","-"
