"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","19건","-","-","44,702","-","-","-"
"1","냉동방어(F,포장횟감)","나가사키현","2015-6-4","10,415","불검출","불검출","적합"
"2","냉장갈치","와카야마현","2015-6-4","1,704","불검출","불검출","적합"
"3","냉장갈치","후쿠오카현","2015-6-4","368","불검출","불검출","적합"
"4","냉장갈치","와카야마현","2015-6-4","2,808","불검출","불검출","적합"
"5","냉장가오리","야마구치현","2015-6-4","410","불검출","불검출","적합"
"6","냉장갈치","와카야마현","2015-6-4","1,472","불검출","불검출","적합"
"7","냉장갈치","후쿠오카현","2015-6-4","60","불검출","불검출","적합"
"8","냉장갈치","히로시마현","2015-6-4","320","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2015-6-4","608","불검출","불검출","적합"
"10","냉장홍어","홋카이도","2015-6-4","10,173","불검출","불검출","적합"
"11","냉장홍어","홋카이도","2015-6-4","3,667","불검출","불검출","적합"
"12","냉장명태","홋카이도","2015-6-4","1,352","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2015-6-4","553","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-6-4","1,352","불검출","불검출","적합"
"15","활가리비","홋카이도","2015-6-4","6,903","불검출","불검출","적합"
"16","냉장준치","구마모토현","2015-6-4","1,547","불검출","불검출","적합"
"17","냉장갈치","에히메현","2015-6-4","520","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2015-6-4","440","불검출","불검출","적합"
"19","마른다시마","오사카부","2015-6-4","30","불검출","불검출","적합"
