"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","29건","-","-","96,515","-","-","-"
"1","활돔(참돔)","에히메현","2014-9-3","7,835","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2014-9-3","9,442","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-9-3","6,500","불검출","불검출","적합"
"4","활가리비","홋카이도","2014-9-3","7,000","불검출","불검출","적합"
"5","활가리비","홋카이도","2014-9-3","6,500","불검출","불검출","적합"
"6","냉장돔(황돔)","나가사키현","2014-9-3","1,280","불검출","불검출","적합"
"7","냉장돔(황돔)","야마구치현","2014-9-3","1,770","불검출","불검출","적합"
"8","냉장명태","홋카이도","2014-9-3","2,676","불검출","불검출","적합"
"9","냉장명태","홋카이도","2014-9-3","2,580","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2014-9-3","1,776","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2014-9-3","1,616","불검출","불검출","적합"
"12","냉장돔(참돔)","야마구치현","2014-9-3","555","불검출","불검출","적합"
"13","활가리비","홋카이도","2014-9-3","6,773","불검출","불검출","적합"
"14","냉장갈치","오이타현","2014-9-3","390","불검출","불검출","적합"
"15","냉장명태","홋카이도","2014-9-3","1,828","불검출","불검출","적합"
"16","활가리비","홋카이도","2014-9-3","6,714","불검출","불검출","적합"
"17","활장어(붕장어)","나가사키현","2014-9-3","206","불검출","불검출","적합"
"18","냉장명태","홋카이도","2014-9-3","3,020","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2014-9-3","2,512","불검출","불검출","적합"
"20","냉장준치","야마구치현","2014-9-3","715","불검출","불검출","적합"
"21","냉장갈치","와카야마현","2014-9-3","288","불검출","불검출","적합"
"22","활가리비","홋카이도","2014-9-3","6,598","불검출","불검출","적합"
"23","냉장돔(참돔)","야마구치현","2014-9-3","420","불검출","불검출","적합"
"24","냉장홍어","홋카이도","2014-9-3","5,081","불검출","불검출","적합"
"25","냉장민어(수조기)","야마구치현","2014-9-3","192","불검출","불검출","적합"
"26","활가리비","홋카이도","2014-9-3","7,448","불검출","불검출","적합"
"27","활장어(먹장어)","야마구치현","2014-9-3","602","불검출","불검출","적합"
"28","활게(참게)","오이타현","2014-9-3","738","불검출","불검출","적합"
"29","활꼬막","사가현","2014-9-3","3,460","불검출","불검출","적합"
