"순번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"합계","","","","500","","",""
"1","고형차","러시아","2022.6.12.","200","44","불검출","적합"
"2","고형차","러시아","2022.6.5.","200","31","불검출","적합"
"3","고형차","러시아","2022.6.3.","100","37","불검출","적합"
